Sex and major field of study,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,% change 2009–18
Health sciences,627,669,713,746,849,735,717,719,801,824,31.4
Physical sciences and earth sciences,"3,533","3,379","3,629","3,684","3,717","3,968","3,929","4,285","4,069","4,214",19.3
Chemistry,"1,490","1,440","1,508","1,521","1,497","1,642","1,593","1,712","1,668","1,743",17.0
"Geosciences, atmospheric sciences, and ocean sciences",539,496,522,538,539,622,600,716,644,659,22.3
Physics and astronomy,"1,504","1,443","1,599","1,625","1,681","1,704","1,736","1,857","1,757","1,812",20.5
Mathematics and computer sciences,"2,327","2,409","2,456","2,638","2,792","2,912","2,877","2,994","2,867","3,043",30.8
Computer and information sciences,"1,260","1,286","1,312","1,419","1,502","1,580","1,581","1,662","1,548","1,568",24.4
Mathematics and statistics,"1,067","1,123","1,144","1,219","1,290","1,332","1,296","1,332","1,319","1,475",38.2
Psychology and social sciences,"3,297","3,357","3,332","3,539","3,501","3,508","3,758","3,740","3,670","3,641",10.4
Psychology,991,"1,031","1,003","1,040",997,"1,063","1,057","1,133","1,123","1,097",10.7
Anthropology,195,201,223,187,188,195,185,171,155,126,-35.4
Economics,735,703,734,840,767,785,821,819,812,850,15.6
Political science and government,409,434,389,420,469,434,527,462,449,429,4.9
Sociology,263,250,254,230,259,247,284,257,263,250,-4.9
Other social sciences,704,738,729,822,821,784,884,898,868,889,26.3
Engineering,"6,006","5,829","6,242","6,565","6,946","7,401","7,578","7,266","7,342","7,726",28.6
"Aerospace, aeronautical, and astronautical engineering",255,215,228,268,293,330,308,314,336,337,32.2
Bioengineering and biomedical engineering,525,509,563,608,684,660,698,686,605,688,31.0
Chemical engineering,591,574,566,583,566,682,685,624,659,688,16.4
Civil engineering,559,473,486,388,417,465,457,437,508,507,-9.3
"Electrical, electronics, and communications engineering","1,433","1,462","1,579","1,594","1,616","1,614","1,704","1,528","1,525","1,606",12.1
Industrial and manufacturing engineering,186,159,180,164,176,209,154,185,168,204,9.7
Materials science engineering,466,495,496,556,598,617,648,721,688,720,54.5
Mechanical engineering,942,858,934,"1,042","1,081","1,126","1,265","1,096","1,160","1,286",36.5
Other engineering,"1,049","1,084","1,210","1,362","1,515","1,698","1,659","1,675","1,693","1,690",61.1
Education,"2,161","1,661","1,432","1,500","1,570","1,468","1,605","1,545","1,519","1,496",-30.8
Education administration,838,547,349,389,372,371,344,304,344,323,-61.5
Education research,819,706,699,761,826,723,849,718,772,764,-6.7
Teacher education,92,59,38,43,22,35,36,43,21,18,-80.4
Teaching fields,275,233,250,229,275,265,294,313,263,272,-1.1
Other education,137,116,96,78,75,74,82,167,119,119,-13.1
Humanities and arts,"2,404","2,462","2,571","2,741","2,829","2,760","2,763","2,639","2,580","2,567",6.8
Foreign languages and literature,224,218,248,238,271,248,238,228,237,247,10.3
History,608,556,586,602,632,664,632,621,594,513,-15.6
Letters,524,625,615,659,665,657,647,600,591,585,11.6
Other humanities and arts,"1,048","1,063","1,122","1,242","1,261","1,191","1,246","1,190","1,158","1,222",16.6
Otherb,"1,420","1,326","1,283","1,360","1,479","1,478","1,461","1,473","1,425","1,452",2.3
Business management and administration,872,814,792,837,909,909,934,932,872,869,-0.3
Communication,263,247,233,244,244,277,256,261,197,234,-11.0
Non-S&E fields nec,285,265,258,279,326,292,271,280,353,349,22.5
Unknown field,0,0,0,0,0,0,0,0,3,0,0.0
Female,"23,187","22,488","22,700","23,526","24,365","24,815","25,347","25,215","25,452","25,368",9.4
Life sciences,"6,210","6,213","6,289","6,614","6,712","6,930","6,928","6,907","6,937","7,114",14.6
Agricultural sciences and natural resources,559,490,554,554,622,646,688,622,736,696,24.5
Biological and biomedical sciences,"4,185","4,219","4,272","4,422","4,410","4,747","4,681","4,707","4,508","4,709",12.5
Health sciences,"1,466","1,504","1,463","1,638","1,680","1,537","1,559","1,578","1,693","1,709",16.6
Physical sciences and earth sciences,"1,618","1,615","1,640","1,730","1,864","1,924","1,987","1,963","2,014","2,118",30.9
Chemistry,895,864,922,894,985,"1,021","1,074",991,"1,032","1,067",19.2
"Geosciences, atmospheric sciences, and ocean sciences",338,366,330,403,449,475,457,510,525,526,55.6
Physics and astronomy,385,385,388,433,430,428,456,462,457,525,36.4
Mathematics and computer sciences,832,814,813,855,868,934,939,959,974,983,18.1
Computer and information sciences,349,347,353,374,341,400,422,420,450,435,24.6
Mathematics and statistics,483,467,460,481,527,534,517,539,524,548,13.5
Psychology and social sciences,"4,646","4,524","4,888","4,955","5,077","5,219","5,316","5,294","5,362","5,256",13.1
Psychology,"2,481","2,389","2,573","2,558","2,594","2,648","2,718","2,776","2,803","2,740",10.4
Anthropology,308,306,330,360,362,328,307,289,291,298,-3.2
Economics,382,369,387,402,416,404,434,416,425,397,3.9
Political science and government,272,294,296,303,333,342,332,283,294,304,11.8
Sociology,399,389,403,402,377,432,458,356,419,419,5.0
Other social sciences,804,777,899,930,995,"1,065","1,067","1,174","1,130","1,098",36.6
Engineering,"1,631","1,746","1,782","1,887","2,052","2,184","2,297","2,189","2,429","2,453",50.4
"Aerospace, aeronautical, and astronautical engineering",41,37,34,39,55,55,53,56,43,46,12.2
Bioengineering and biomedical engineering,308,315,335,335,355,384,427,403,427,445,44.5
Chemical engineering,216,248,256,256,258,290,317,296,271,293,35.6
Civil engineering,148,169,147,106,125,147,175,127,203,170,14.9
"Electrical, electronics, and communications engineering",260,315,301,336,279,325,293,293,355,345,32.7
Industrial and manufacturing engineering,65,55,78,62,65,89,89,71,80,68,4.6
Materials science engineering,159,175,166,184,217,211,223,262,249,275,73.0
Mechanical engineering,152,125,150,177,196,197,201,201,239,216,42.1
Other engineering,282,307,315,392,502,486,519,480,562,595,111.0
Education,"4,366","3,624","3,234","3,298","3,364","3,311","3,492","3,598","3,305","3,337",-23.6
Education administration,"1,308",892,574,665,593,522,576,519,578,575,-56.0
Education research,"1,844","1,736","1,736","1,807","1,877","1,828","1,922","1,665","1,645","1,742",-5.5
Teacher education,240,186,166,113,87,117,120,137,92,79,-67.1
Teaching fields,630,566,555,527,617,649,659,852,662,691,9.7
Other education,344,244,203,186,190,195,215,425,328,250,-27.3
Humanities and arts,"2,499","2,552","2,654","2,818","2,885","2,760","2,830","2,840","2,705","2,575",3.0
Foreign languages and literature,374,382,396,446,430,424,418,371,381,370,-1.1
History,437,449,479,484,516,521,514,527,464,435,-0.5
Letters,888,891,898,978,941,894,936,929,871,856,-3.6
Other humanities and arts,800,830,881,910,998,921,962,"1,013",989,914,14.3
Otherb,"1,385","1,400","1,400","1,369","1,543","1,553","1,558","1,465","1,726","1,532",10.6
Business management and administration,533,550,535,564,641,669,648,575,692,609,14.3
Communication,364,390,417,350,401,383,411,410,425,396,8.8
Non-S&E fields nec,488,460,448,455,501,501,499,480,609,527,8.0
Unknown field,0,0,0,0,0,0,0,0,0,0,0.0
